Date,Description,Category,Amount
2024-01-01,Grocery Shopping,Food,45.50
2024-01-02,Taxi to Work,Transport,15.00
2024-01-03,Movie Tickets,Entertainment,25.00
2024-01-04,Electric Bill,Utilities,80.00
2024-01-05,H&M Shirt,Shopping,35.99
2024-01-06,Doctor Visit,Healthcare,60.00
2024-01-07,Coffee,Food,4.50
2024-01-08,Gas,Transport,50.00
2024-01-09,Netflix Subscription,Entertainment,12.99
2024-01-10,Internet Bill,Utilities,60.00
2024-01-11,Shoes,Shopping,89.99
2024-01-12,Pharmacy,Healthcare,25.50
2024-01-13,Restaurant Dinner,Food,65.00
2024-01-14,Uber Ride,Transport,22.00
2024-01-15,Concert Tickets,Entertainment,95.00
